EDGE_ID,TEST_GROUP,PRODUCT_SCENARIO,RECOMMENDED_PRIMARY_L1,RECOMMENDED_PRIMARY_L2,ALTERNATIVE_POSSIBLE_OWNER,PLACEMENT_CONFIDENCE,RECOMMENDED_RULE,FACETS_INVOLVED,POLICY_FLAG,RESULT,OWNER_DECISION_REQUIRED,PRIORITY
EDGE-0088,TOYS_ELECTRONICS_HOBBY,hobi sınıfı uzaktan kumandalı araba,Oyuncak & Hobi,Oyuncak Araçlar & Uzaktan Kumandalı Oyuncaklar,Otomotiv & Motosiklet; Elektronik,HIGH,Araç biçimi gerçek otomotiv ürünü yapmaz.,yaş; ölçek,SAFETY_REVIEW,CLEAR,NO,P2
EDGE-0089,TOYS_ELECTRONICS_HOBBY,ev tipi oyun konsolu,Elektronik,Oyun Konsolu & Aksesuarları,Oyuncak & Hobi; Bilgisayar & Tablet,HIGH,Owner-final console-first boundary.,platform; depolama,NONE,CLEAR,NO,P2
EDGE-0090,TOYS_ELECTRONICS_HOBBY,sesli harf öğreten elektronik oyuncak,Oyuncak & Hobi,"Eğitici, Bilim & Keşif Oyuncakları",Elektronik; Kırtasiye & Ofis,MEDIUM,Çocuk oyun/eğitim intent'i elektronik formdan baskın.,yaş; dil,SAFETY_REVIEW,AMBIGUOUS,YES,P1
EDGE-0091,TOYS_ELECTRONICS_HOBBY,plastik uçak maket kiti,Oyuncak & Hobi,"Model, Maket & Minyatür",Kırtasiye & Ofis; Hediyelik & Parti,HIGH,Bitmiş oyuncak değil model kurma kitidir.,ölçek; yaş,SAFETY_REVIEW,CLEAR,NO,P2
EDGE-0092,TOYS_ELECTRONICS_HOBBY,çocuk oyuncak mini klavye,Oyuncak & Hobi,"Eğitici, Bilim & Keşif Oyuncakları",Müzik & Enstrüman,MEDIUM,Toy-grade functionality ve yaş sinyali müzik enstrümanından ayrılmalı.,yaş; tuş sayısı,SAFETY_REVIEW,AMBIGUOUS,YES,P0
EDGE-0093,TOYS_ELECTRONICS_HOBBY,başlangıç öğrenci elektronik orgu,Müzik & Enstrüman,"Piyano, Org & Klavyeli Çalgılar",Oyuncak & Hobi,MEDIUM,Gerçek müzik üretim kapasitesi oyuncak sınırını belirler.,tuş sayısı; yaş,NONE,AMBIGUOUS,YES,P0
EDGE-0094,TOYS_ELECTRONICS_HOBBY,robotik kodlama eğitim seti,Oyuncak & Hobi,"Eğitici, Bilim & Keşif Oyuncakları",Elektronik > Elektronik Bileşenler; Kırtasiye & Ofis,MEDIUM,Tamamlanmış yaş odaklı kit Oyuncak; genel maker modülü Elektronik.,yaş; programlama,SAFETY_REVIEW,AMBIGUOUS,YES,P0
EDGE-0095,TOYS_ELECTRONICS_HOBBY,koleksiyonluk die-cast model otomobil,Oyuncak & Hobi,Koleksiyon Ürünleri,"Model, Maket & Minyatür; Otomotiv & Motosiklet",MEDIUM,Bitmiş koleksiyon objesi ile yapım modeli ayrılmalı.,ölçek; koleksiyon serisi,NONE,AMBIGUOUS,YES,P1
EDGE-0096,TOYS_ELECTRONICS_HOBBY,paintball işaretleyici ekipmanı,Spor & Outdoor,Dövüş Sporları,"Oyuncak & Hobi; Yapı, Hırdavat & Tesisat",MEDIUM,Riskli ürün policy ve yaş doğrulaması kategori kararından önce gelir.,kalibre; kullanım,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0097,TOYS_ELECTRONICS_HOBBY,oyuncak kapsül tabanca,Oyuncak & Hobi,"Figür, Bebek & Rol Oyunları",Spor & Outdoor,MEDIUM,Oyuncak güvenliği ve piroteknik/kapsül mevzuatı ayrıca incelenmeli.,yaş; ateşleme tipi,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0098,MUSIC_ELECTRONICS_COMPUTER,USB ses kayıt arayüzü,Müzik & Enstrüman,"Stüdyo, Kayıt & Canlı Ses Ekipmanları",Bilgisayar & Tablet; Elektronik,MEDIUM,Primary function audio production; USB compatibility facet.,kanal; bağlantı,NONE,AMBIGUOUS,YES,P1
EDGE-0099,MUSIC_ELECTRONICS_COMPUTER,MIDI kontrol klavyesi,Müzik & Enstrüman,Elektronik Müzik & DJ Ekipmanları,Bilgisayar & Tablet; Elektronik,MEDIUM,Müzik kontrol amacı cihaz formundan baskın.,tuş sayısı; bağlantı,NONE,AMBIGUOUS,YES,P1
EDGE-0100,MUSIC_ELECTRONICS_COMPUTER,yakın alan stüdyo monitör hoparlörü,Müzik & Enstrüman,"Stüdyo, Kayıt & Canlı Ses Ekipmanları",Elektronik > Ses & Kulaklık,MEDIUM,Profesyonel monitoring intended use Müzik domaini; consumer speaker Elektronik.,güç; profesyonel kullanım,NONE,AMBIGUOUS,YES,P0
EDGE-0101,MUSIC_ELECTRONICS_COMPUTER,taşınabilir Bluetooth tüketici hoparlörü,Elektronik,Ses & Kulaklık,Müzik & Enstrüman,HIGH,Consumer playback device Elektronik.,Bluetooth; güç,NONE,CLEAR,NO,P2
EDGE-0102,MUSIC_ELECTRONICS_COMPUTER,elektro gitar amfisi,Müzik & Enstrüman,Enstrüman Amfi & Efektleri,Elektronik > Ses & Kulaklık,HIGH,Enstrüman sinyal zincirine özgü amfidir.,güç; enstrüman uyumu,NONE,CLEAR,NO,P2
EDGE-0103,MUSIC_ELECTRONICS_COMPUTER,dahili PCIe ses kartı,Bilgisayar & Tablet,Bilgisayar Bileşenleri > Genişleme Kartları,Müzik & Enstrüman; Elektronik,HIGH,Owner-final internal PC component rule.,arayüz; kanal,NONE,CLEAR,NO,P2
EDGE-0104,MUSIC_ELECTRONICS_COMPUTER,USB podcast mikrofonu,Müzik & Enstrüman,"Stüdyo, Kayıt & Canlı Ses Ekipmanları",Bilgisayar & Tablet; Elektronik,MEDIUM,Capture-first ürün için consumer/pro audio sınırı owner rule ister.,bağlantı; kullanım,NONE,AMBIGUOUS,YES,P0
EDGE-0105,MUSIC_ELECTRONICS_COMPUTER,oyuncu masaüstü USB mikrofonu,Bilgisayar & Tablet,Bilgisayar Aksesuarları,Müzik & Enstrüman; Elektronik,MEDIUM,PC-first gaming peripheral ile recording microphone sınırı netleşmeli.,kullanım; bağlantı,NONE,AMBIGUOUS,YES,P0
EDGE-0106,MUSIC_ELECTRONICS_COMPUTER,kablosuz yaka mikrofonu kamera seti,Elektronik,Fotoğraf & Kamera,Müzik & Enstrüman; Telefon & Aksesuarları,MEDIUM,Capture workflow owner kararı gerekir; uyumluluk facet kalmalı.,cihaz uyumu; kanal,NONE,AMBIGUOUS,YES,P0
EDGE-0107,MUSIC_ELECTRONICS_COMPUTER,DJ kulaklığı,Elektronik,Ses & Kulaklık,Müzik & Enstrüman,MEDIUM,Genel kulaklık owner-final Elektronik; profesyonel usage facet.,kullanım; bağlantı,NONE,AMBIGUOUS,YES,P1
EDGE-0108,MUSIC_ELECTRONICS_COMPUTER,gitar USB kayıt kablosu,Müzik & Enstrüman,"Enstrüman Aksesuar, Bakım & Sarf Malzemeleri","Elektronik > Güç, Şarj & Bağlantı",MEDIUM,Instrument-specific signal accessory domain rule.,enstrüman uyumu; konektör,NONE,AMBIGUOUS,YES,P1
EDGE-0109,MUSIC_ELECTRONICS_COMPUTER,aktif PA sahne hoparlörü,Müzik & Enstrüman,"Stüdyo, Kayıt & Canlı Ses Ekipmanları",Elektronik > Ses & Kulaklık,MEDIUM,Live sound intended use Müzik; home playback Elektronik.,güç; profesyonel kullanım,NONE,AMBIGUOUS,YES,P0
EDGE-0110,OPTICS_HEALTH_SPORTS,numaralı cam takılacak optik çerçeve,Gözlük & Optik,Optik Gözlük Çerçeveleri,Saat & Takı; Sağlık & Medikal,HIGH,Optik düzeltme amaçlı çerçeve açık owner.,çerçeve ölçüsü; malzeme,REGULATED_REVIEW,CLEAR,NO,P2
EDGE-0111,OPTICS_HEALTH_SPORTS,hazır +2.00 okuma gözlüğü,Gözlük & Optik,Hazır Okuma Gözlükleri,Sağlık & Medikal,HIGH,Hazır okuma L2 açık; dioptri facet/policy.,dioptri; çerçeve,REGULATED_REVIEW,CLEAR,NO,P2
EDGE-0112,OPTICS_HEALTH_SPORTS,UV korumalı güneş gözlüğü,Gözlük & Optik,Güneş Gözlükleri,Spor & Outdoor; Saat & Takı,HIGH,Moda/spor occasion owner değiştirmez.,UV sınıfı; stil,LABEL_REVIEW,CLEAR,NO,P2
EDGE-0113,OPTICS_HEALTH_SPORTS,yüzme gözlüğü,Spor & Outdoor,Su Sporları,Gözlük & Optik,MEDIUM,Optik düzeltme değil sport equipment; numaralı versiyon için rule gerekir.,numara; spor,NONE,AMBIGUOUS,YES,P1
EDGE-0114,OPTICS_HEALTH_SPORTS,kayak gözlüğü,Spor & Outdoor,Kış Sporları,Gözlük & Optik,MEDIUM,Teknik spor koruması Optik moda ürününden ayrılır.,lens sınıfı; spor,SAFETY_STANDARD_REVIEW,AMBIGUOUS,YES,P1
EDGE-0115,OPTICS_HEALTH_SPORTS,endüstriyel koruyucu gözlük,"Yapı, Hırdavat & Tesisat",İş Güvenliği & Koruyucu Donanım,Gözlük & Optik; Sağlık & Medikal,MEDIUM,PPE intended use/standard primary owner'ı belirler.,koruma standardı; lens,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0116,OPTICS_HEALTH_SPORTS,günlük kontakt lens,Gözlük & Optik,Kontakt Lensler,Sağlık & Medikal,HIGH,Optik ürün L2 açık; kullanım süresi facet.,dioptri; kullanım süresi,REGULATED_REVIEW,CLEAR,NO,P2
EDGE-0117,OPTICS_HEALTH_SPORTS,renkli numarasız kontakt lens,Gözlük & Optik,Kontakt Lensler,Kozmetik & Kişisel Bakım,MEDIUM,Estetik amaç lensi kozmetik yapmaz; medikal cihaz policy korunmalı.,renk; dioptri,REGULATED_REVIEW,AMBIGUOUS,YES,P1
EDGE-0118,OPTICS_HEALTH_SPORTS,kaynakçı koruyucu yüz siperi,"Yapı, Hırdavat & Tesisat",İş Güvenliği & Koruyucu Donanım,Gözlük & Optik,HIGH,Tam yüz PPE; optik düzeltme ürünü değildir.,koruma standardı,REGULATED_REVIEW,CLEAR,NO,P2
EDGE-0119,OPTICS_HEALTH_SPORTS,mavi ışık filtreli numarasız bilgisayar gözlüğü,Gözlük & Optik,Optik Gözlük Çerçeveleri,Bilgisayar & Tablet,MEDIUM,Bitmiş numarasız gözlük ile sadece çerçeve L2 arasında leaf boşluğu var.,filtre iddiası; çerçeve,CLAIM_REVIEW,AMBIGUOUS,YES,P1
EDGE-0120,OPTICS_HEALTH_SPORTS,sporcu numaralı güneş gözlüğü,Gözlük & Optik,Güneş Gözlükleri,Spor & Outdoor,MEDIUM,"Optik/güneş primary; spor type facet, reçeteli cam policy.",spor; dioptri; UV,REGULATED_REVIEW,AMBIGUOUS,YES,P1
EDGE-0121,OPTICS_HEALTH_SPORTS,kontakt lens solüsyonu,Gözlük & Optik,Kontakt Lens Bakım Ürünleri,Kozmetik & Kişisel Bakım; Sağlık & Medikal,HIGH,Domain-specific bakım ürünü açık owner.,lens uyumu; hacim,REGULATED_REVIEW,CLEAR,NO,P2
EDGE-0122,PET_FOOD_HEALTH,yetişkin köpek kuru maması,Evcil Hayvan Ürünleri,Köpek Ürünleri,Gıda & İçecek,HIGH,Pet türü ownership; insan gıdası değildir.,tür; yaş; form,FEED_LABEL_REVIEW,CLEAR,NO,P2
EDGE-0123,PET_FOOD_HEALTH,veteriner diyet köpek maması,Evcil Hayvan Ürünleri,Köpek Ürünleri,Sağlık & Medikal,MEDIUM,Veteriner diyet iddiası facet/policy; pet owner korunmalı.,tür; sağlık iddiası,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0124,PET_FOOD_HEALTH,kedi pire damlası,Evcil Hayvan Ürünleri,Kedi Ürünleri,Sağlık & Medikal,MEDIUM,Veteriner biyosidal/ilaç statüsü satış policy incelemesi ister.,tür; aktif madde,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0125,PET_FOOD_HEALTH,köpek vitamin tableti,Evcil Hayvan Ürünleri,Köpek Ürünleri,Sağlık & Medikal,MEDIUM,Pet supplement owner ve policy root rule gerekir.,tür; doz,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0126,PET_FOOD_HEALTH,genel pet şampuanı,Evcil Hayvan Ürünleri,Ortak Pet Bakım & Aksesuarları,Kozmetik & Kişisel Bakım,HIGH,İnsan kozmetiği değil pet bakım ürünü.,tür uyumu; içerik,PET_PRODUCT_REVIEW,CLEAR,NO,P2
EDGE-0127,PET_FOOD_HEALTH,reçeteli veteriner ilacı,— (policy-gated veterinary medicine),—,Evcil Hayvan Ürünleri; Sağlık & Medikal,MEDIUM,Veteriner ilaçları taxonomy V1'e otomatik alınmamalı.,tür; doz,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0128,PET_FOOD_HEALTH,akvaryum balık yemi,Evcil Hayvan Ürünleri,Akvaryum & Balık Ürünleri,Gıda & İçecek,HIGH,Pet feed tür tabanlı domain ürünüdür.,tür; form,FEED_LABEL_REVIEW,CLEAR,NO,P2
EDGE-0129,PET_FOOD_HEALTH,kemirgen talaş altlığı,Evcil Hayvan Ürünleri,Küçük Hayvan Ürünleri,Ev & Yaşam; Çiçek & Bahçe,HIGH,Pet habitat sarfı species domaininde.,tür; malzeme,NONE,CLEAR,NO,P2
EDGE-0130,PET_FOOD_HEALTH,pet taşıma sırt çantası,Evcil Hayvan Ürünleri,Ortak Pet Bakım & Aksesuarları,Çanta & Aksesuar,MEDIUM,Canlı hayvan taşıma güvenliği generic bag formundan baskın.,tür; taşıma kapasitesi,SAFETY_REVIEW,AMBIGUOUS,YES,P1
EDGE-0131,PET_FOOD_HEALTH,köpek yağmurluğu,Evcil Hayvan Ürünleri,Köpek Ürünleri,Giyim & Moda,HIGH,Species-specific product pet domaininde; stil/beden facet.,tür; beden; stil,NONE,CLEAR,NO,P2
EDGE-0132,PET_FOOD_HEALTH,kuş kafesi dezenfektanı,Evcil Hayvan Ürünleri,Kuş Ürünleri,Ev & Yaşam; Sağlık & Medikal,MEDIUM,Species/habitat-specific chemical pet owner; chemical policy gerekir.,tür; aktif madde,CHEMICAL_LABEL_REVIEW,AMBIGUOUS,YES,P1
EDGE-0133,PET_FOOD_HEALTH,ortak kedi-köpek tüy tarağı,Evcil Hayvan Ürünleri,Ortak Pet Bakım & Aksesuarları,Kedi Ürünleri; Köpek Ürünleri,MEDIUM,Species compatibility facet; ortak ürün L2 doğru owner.,tür uyumu; boyut,NONE,FACET_CONFUSION,NO,P2
EDGE-0134,FLOWER_GARDEN_HOME_HARDWARE,canlı saksı orkidesi,Çiçek & Bahçe,Canlı Saksı Bitkileri,Hediyelik & Parti; Ev & Yaşam,HIGH,Hediye/dekor intent primary ownership'i değiştirmez.,bitki türü; saksı çapı,PLANT_HEALTH_REVIEW,CLEAR,NO,P2
EDGE-0135,FLOWER_GARDEN_HOME_HARDWARE,kesme gül buketi,Çiçek & Bahçe,Kesme Çiçek & Fiziksel Aranjmanlar,Hediyelik & Parti,HIGH,Hediye intent collection; fiziksel ürün flower owner.,çiçek türü; occasion,NONE,CLEAR,NO,P2
EDGE-0136,FLOWER_GARDEN_HOME_HARDWARE,yapay salon çiçeği,Çiçek & Bahçe,Yapay Çiçek & Yapay Bitkiler,Ev & Yaşam,MEDIUM,Dedicated artificial plant L2 ile generic decoration sınırı proposal lehine açık.,malzeme; stil,NONE,AMBIGUOUS,NO,P2
EDGE-0137,FLOWER_GARDEN_HOME_HARDWARE,seramik çiçek saksısı,Çiçek & Bahçe,"Saksı, Saksılık & Bitki Kapları",Ev & Yaşam; Züccaciye & Mutfak,HIGH,Bitki kabı function-first garden owner.,malzeme; ölçü,NONE,CLEAR,NO,P2
EDGE-0138,FLOWER_GARDEN_HOME_HARDWARE,programlanabilir sulama zamanlayıcısı,Çiçek & Bahçe,Sulama Ürünleri,"Elektronik > Akıllı Ev & Güvenlik; Yapı, Hırdavat & Tesisat",MEDIUM,Garden irrigation function device connectivity'den baskın olabilir; rule gerekir.,protokol; bağlantı ölçüsü,NONE,AMBIGUOUS,YES,P0
EDGE-0139,FLOWER_GARDEN_HOME_HARDWARE,elektrikli çit budama makinesi,Çiçek & Bahçe,Bahçe El Aletleri,"Yapı, Hırdavat & Tesisat",MEDIUM,Powered garden tool ile generic power tool boundary netleşmeli.,güç; bıçak uzunluğu,SAFETY_STANDARD_REVIEW,AMBIGUOUS,YES,P0
EDGE-0140,FLOWER_GARDEN_HOME_HARDWARE,dış mekân bahçe sandalyesi,Ev & Yaşam,Mobilya,Çiçek & Bahçe,MEDIUM,Furniture form primary; outdoor/garden use facet.,malzeme; dış mekân,NONE,AMBIGUOUS,YES,P1
EDGE-0141,FLOWER_GARDEN_HOME_HARDWARE,tarımsal böcek ilacı,— (policy-gated pesticide),—,"Çiçek & Bahçe; Yapı, Hırdavat & Tesisat",MEDIUM,Pestisit satış kapsamı ve ruhsatı policy kararı gerektirir.,aktif madde; hedef zararlı,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0142,FLOWER_GARDEN_HOME_HARDWARE,ev tipi bitki besin çözeltisi,Çiçek & Bahçe,"Toprak, Gübre & Bitki Besleme",Ev & Yaşam,HIGH,Bitki besleme amacı açık owner; kimyasal etiket policy.,bitki türü; form,CHEMICAL_LABEL_REVIEW,CLEAR,NO,P2
EDGE-0143,FLOWER_GARDEN_HOME_HARDWARE,dekoratif bahçe güneş lambası,Ev & Yaşam,Aydınlatma,Çiçek & Bahçe; Elektronik,MEDIUM,"Bitmiş aydınlatma product-form; garden use facet, solar tech facet.",güneş enerjisi; dış mekân,ELECTRICAL_SAFETY_REVIEW,AMBIGUOUS,YES,P1
EDGE-0144,FLOWER_GARDEN_HOME_HARDWARE,duvara monte hortum makarası,Çiçek & Bahçe,Sulama Ürünleri,"Yapı, Hırdavat & Tesisat",MEDIUM,Sulama-specific storage product domain owner; fixed mounting facet.,hortum ölçüsü; montaj,NONE,AMBIGUOUS,YES,P1
EDGE-0145,FLOWER_GARDEN_HOME_HARDWARE,sera nem ve sıcaklık sensörü,Çiçek & Bahçe,Sera & Yetiştirme Ekipmanları,Elektronik > Elektronik Bileşenler; Akıllı Ev & Güvenlik,MEDIUM,Finished horticulture instrument ile generic sensor component ayrılmalı.,protokol; ölçüm aralığı,NONE,AMBIGUOUS,YES,P0
EDGE-0146,GIFT_INTENT_PERSONALIZATION,hediye kutulu çikolata,Gıda & İçecek,"Atıştırmalık, Şekerleme & Kuruyemiş",Hediyelik & Parti,MEDIUM,Hediye sunumu collection/facet; yenilebilir ürün Gıda.,occasion; paketleme,FOOD_LABEL_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0147,GIFT_INTENT_PERSONALIZATION,kolye ve küpeden oluşan hediye seti,Saat & Takı,Kolyeler & Takı Uçları,Küpeler; Hediyelik & Parti,MEDIUM,Setlerin primary product/department rule'u gerekir; hediye intent owner değildir.,set; occasion; materyal,PRECIOUS_MATERIAL_REVIEW,AMBIGUOUS,YES,P1
EDGE-0148,GIFT_INTENT_PERSONALIZATION,hediye paketli oyuncak ayı,Oyuncak & Hobi,"Figür, Bebek & Rol Oyunları",Hediyelik & Parti,MEDIUM,Paketleme/hediye intent collection; oyuncak primary.,yaş; occasion,SAFETY_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0149,GIFT_INTENT_PERSONALIZATION,hediye amaçlı canlı orkide,Çiçek & Bahçe,Canlı Saksı Bitkileri,Hediyelik & Parti,MEDIUM,Gift intent product ownership'i çoğaltmaz.,occasion; bitki türü,PLANT_HEALTH_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0150,GIFT_INTENT_PERSONALIZATION,isim baskılı seramik kupa,Züccaciye & Mutfak,"Bardak, Kupa & İçecek Servisi",Hediyelik & Parti,MEDIUM,Kişiselleştirme üretim/fulfillment facet; fiziksel kupa owner.,kişiselleştirme; malzeme,CUSTOMIZATION_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0151,GIFT_INTENT_PERSONALIZATION,isim baskılı pamuklu tişört,Giyim & Moda,Üst Giyim,Hediyelik & Parti,MEDIUM,Kişiselleştirme ve hediye intent owner değildir.,kişiselleştirme; beden,CUSTOMIZATION_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0152,GIFT_INTENT_PERSONALIZATION,boş hediye kutusu ve kurdele seti,Hediyelik & Parti,Hediye Paketleme & Sunum,Kırtasiye & Ofis,HIGH,Ürünün kendisi paketleme/sunum malzemesidir.,ölçü; renk,NONE,CLEAR,NO,P2
EDGE-0153,GIFT_INTENT_PERSONALIZATION,doğum günü fotoğraf çekim çubuğu seti,Hediyelik & Parti,Parti Eğlence & Fotoğraf Aksesuarları,Fotoğraf & Kamera,HIGH,Party prop fotoğraf cihazı değildir.,tema; occasion,NONE,CLEAR,NO,P2
EDGE-0154,GIFT_INTENT_PERSONALIZATION,kişiye özel basılan fotoğraf kitabı,Kitap,— (personalized photo book L2 gap),Hediyelik & Parti; Kırtasiye & Ofis,LOW,Basılı kişisel fotoğraf ürünü mevcut kitap L2'lerine doğal oturmuyor.,kişiselleştirme; cilt,CUSTOMIZATION_REVIEW,MISSING_HOME,YES,P1
EDGE-0155,GIFT_INTENT_PERSONALIZATION,içi boş dekoratif hatıra kar küresi,Hediyelik & Parti,Hatıra & Hediyelik Objeler,Ev & Yaşam; Oyuncak & Hobi,MEDIUM,Souvenir/commemorative intent dedicated owner; generic decor sınırı açıklanmalı.,tema; malzeme,NONE,AMBIGUOUS,YES,P1
EDGE-0156,GIFT_INTENT_PERSONALIZATION,tektaş yüzük ve çiçek birlikte satış paketi,Saat & Takı,Yüzükler,Çiçek & Bahçe; Hediyelik & Parti,MEDIUM,Multi-product bundle için primary item/line-item taxonomy rule gerekir.,bundle; occasion; materyal,PRECIOUS_MATERIAL_REVIEW,AMBIGUOUS,YES,P0
EDGE-0157,GIFT_INTENT_PERSONALIZATION,hediye çeki kartı,— (non-physical value instrument),—,Hediyelik & Parti; Kırtasiye & Ofis,MEDIUM,Stored-value/gift card fiziksel ürün taxonomy'sine otomatik alınmamalı.,değer; geçerlilik,FINANCIAL_POLICY_REVIEW,POLICY_BLOCKED,YES,P0
EDGE-0158,OTHER_CROSS_DOMAIN,çocuk boyama etkinlik kitabı,Kitap,Çocuk & Gençlik Kitapları,Kırtasiye & Ofis; Oyuncak & Hobi,MEDIUM,Ciltli/ISBN yayın Kitap; ayrılabilir etkinlik seti kırtasiye olabilir.,yaş; yayın formatı,NONE,AMBIGUOUS,YES,P1
EDGE-0159,OTHER_CROSS_DOMAIN,sanatçı eskiz defteri,Kırtasiye & Ofis,Sanat & Çizim Malzemeleri,"Defter, Ajanda & Planlayıcılar",MEDIUM,Usage-specific L2 ile product-form L2 çatışıyor; primary rule gerekir.,kağıt gramajı; kullanım,NONE,AMBIGUOUS,YES,P1
EDGE-0160,OTHER_CROSS_DOMAIN,mücevher saklama kutusu,Saat & Takı,Takı Aksesuarları & Saklama,Ev & Yaşam; Hediyelik & Parti,HIGH,Domain-specific storage dedicated owner.,malzeme; bölme,NONE,CLEAR,NO,P2
EDGE-0161,OTHER_CROSS_DOMAIN,DIY takı yapım başlangıç kiti,Saat & Takı,Takı Yapım Malzemeleri,Oyuncak & Hobi; Kırtasiye & Ofis,MEDIUM,Yetişkin craft supply ile çocuk hobby kit yaş/intended-use rule ister.,yaş; malzeme,SAFETY_REVIEW,AMBIGUOUS,YES,P1
EDGE-0162,OTHER_CROSS_DOMAIN,telefon ekran değişim işçiliği,— (service taxonomy),—,Elektronik > Telefon & Aksesuarları,MEDIUM,Fiziksel yedek parça product taxonomy; onarım emeği service taxonomy.,hizmet türü; cihaz uyumu,SERVICE_EXCLUDED,SERVICE_LEAKAGE,YES,P0
EDGE-0163,OTHER_CROSS_DOMAIN,kombi bakım hizmeti,— (service taxonomy),—,"Beyaz Eşya & Ev Aletleri; Yapı, Hırdavat & Tesisat",MEDIUM,Bakım emeği fiziksel ürün ağacına girmemeli.,hizmet türü; cihaz,SERVICE_EXCLUDED,SERVICE_LEAKAGE,YES,P0
EDGE-0164,OTHER_CROSS_DOMAIN,gözlük camı montaj hizmeti,— (service taxonomy),—,Gözlük & Optik,MEDIUM,Cam fiziksel ürün; kesim/montaj hizmettir.,hizmet türü; reçete,SERVICE_EXCLUDED,SERVICE_LEAKAGE,YES,P0
EDGE-0165,OTHER_CROSS_DOMAIN,canlı müzik dersi hediye paketi,— (service taxonomy),—,Müzik & Enstrüman; Hediyelik & Parti,MEDIUM,Eğitim hizmeti product taxonomy dışında; hediye intent owner değildir.,hizmet; occasion,SERVICE_EXCLUDED,SERVICE_LEAKAGE,YES,P0
EDGE-0166,OTHER_CROSS_DOMAIN,havai fişek kutusu,— (policy-gated pyrotechnic),—,Hediyelik & Parti; Oyuncak & Hobi,MEDIUM,Piroteknik ürünler owner/legal approval olmadan taxonomy V1'e alınmamalı.,ürün sınıfı; yaş,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0167,OTHER_CROSS_DOMAIN,av tüfeği mühimmatı,— (policy-gated weapon product),—,Spor & Outdoor,MEDIUM,Silah/mühimmat kategorilemeden önce açık exclusion/legal karar gerekir.,kalibre,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0168,OTHER_CROSS_DOMAIN,yenilenmiş ikinci el akıllı telefon,Elektronik,Telefon & Aksesuarları > Cep Telefonları > Akıllı Telefonlar,—,MEDIUM,Yenilenmiş/ikinci el condition facet; ürün owner değişmez.,durum; garanti; depolama,CONSUMER_DISCLOSURE_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0169,OTHER_CROSS_DOMAIN,dijital indirilebilir e-kitap lisansı,— (digital goods scope gap),—,Kitap,MEDIUM,Görev physical retail taxonomy; dijital lisans ayrı ürün/policy kapsamı.,format; lisans,DIGITAL_GOODS_EXCLUDED,POLICY_BLOCKED,YES,P0
