"LEGACY_SLUG","LEGACY_NAME","LEGACY_PATH","CANONICAL_PLANNING_KEY","CANONICAL_PATH","ALIAS_TYPE","REDIRECT_BEHAVIOR","SEARCH_SYNONYM_DISTINCTION","SPLIT_AMBIGUITY","MANUAL_REVIEW_REQUIRED","SOURCE_ACTION","NOTES"
"tarayici","Tarayıcı","Bilgisayar & Tablet > Ağ, Harici Depolama & Baskı > Tarayıcı","CANONICAL-000303","Bilgisayar & Tablet > Yazıcı, Tarayıcı & Sarf Malzemeleri","LEGACY_PATH_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","MOVE","Canonical L2 placement is final; lower successor awaits a future owner-approved L3/L4 design."
"kartus-toner","Kartuş & Toner","Bilgisayar & Tablet > Ağ, Harici Depolama & Baskı > Kartuş & Toner","CANONICAL-000303","Bilgisayar & Tablet > Yazıcı, Tarayıcı & Sarf Malzemeleri","LEGACY_PATH_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","MOVE","Canonical L2 placement is final; lower successor awaits a future owner-approved L3/L4 design."
"beyaz-esya-ev-aletleri","Beyaz Eşya & Ev Aletleri","Beyaz Eşya & Ev Aletleri","CANONICAL-000305","Beyaz Eşya & Ev Aletleri","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP",""
"sogutma-cihazlari","Soğutma Cihazları","Beyaz Eşya & Ev Aletleri > Soğutma Cihazları","CANONICAL-000306","Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Previous provisional L2 bridge now resolves to the exact Wave 32 candidate L2; target is not owner-final."
"buzdolabi","Buzdolabı","Beyaz Eşya & Ev Aletleri > Soğutma Cihazları > Buzdolabı","CANONICAL-000308 || CANONICAL-000309 || CANONICAL-000310 || CANONICAL-000311","Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları > Buzdolapları > Üstten Donduruculu Buzdolapları || Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları > Buzdolapları > Alttan Donduruculu & Kombi Buzdolapları || Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları > Buzdolapları > Gardırop Tipi Buzdolapları || Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları > Buzdolapları > Mini Buzdolapları","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"derin-dondurucu","Derin Dondurucu","Beyaz Eşya & Ev Aletleri > Soğutma Cihazları > Derin Dondurucu","CANONICAL-000309","Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları > Buzdolapları > Alttan Donduruculu & Kombi Buzdolapları","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=0,9000; target remains candidate, not owner-final."
"mini-buzdolabi","Mini Buzdolabı","Beyaz Eşya & Ev Aletleri > Soğutma Cihazları > Mini Buzdolabı","CANONICAL-000311","Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları > Buzdolapları > Mini Buzdolapları","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=0,5600; target remains candidate, not owner-final."
"su-sebili","Su Sebili","Beyaz Eşya & Ev Aletleri > Soğutma Cihazları > Su Sebili","CANONICAL-000316","Beyaz Eşya & Ev Aletleri > Soğutma & Gıda Saklama Cihazları > Su Sebilleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"camasir-bulasik-cihazlari","Çamaşır & Bulaşık Cihazları","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Cihazları","CANONICAL-000317","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Bakım Cihazları","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Previous provisional L2 bridge now resolves to the exact Wave 32 candidate L2; target is not owner-final."
"camasir-makinesi","Çamaşır Makinesi","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Cihazları > Çamaşır Makinesi","CANONICAL-000318","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Bakım Cihazları > Çamaşır Makineleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"kurutma-makinesi","Kurutma Makinesi","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Cihazları > Kurutma Makinesi","CANONICAL-000319","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Bakım Cihazları > Kurutma Makineleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"bulasik-makinesi","Bulaşık Makinesi","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Cihazları > Bulaşık Makinesi","CANONICAL-000321","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Bakım Cihazları > Bulaşık Makineleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"utu","Ütü","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Cihazları > Ütü","CANONICAL-000365","Beyaz Eşya & Ev Aletleri > Ütü & Tekstil Bakım Cihazları > Ütüler","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Explicit product-type successor."
"dikis-makinesi","Dikiş Makinesi","Beyaz Eşya & Ev Aletleri > Çamaşır & Bulaşık Cihazları > Dikiş Makinesi","CANONICAL-000369","Beyaz Eşya & Ev Aletleri > Ütü & Tekstil Bakım Cihazları > Ev Tipi Dikiş Makineleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Consumer/home machine boundary."
"pisirme-mutfak-cihazlari","Pişirme & Mutfak Cihazları","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları","CANONICAL-000322 || CANONICAL-000328 || CANONICAL-000360","Beyaz Eşya & Ev Aletleri > Büyük Pişirme Cihazları || Beyaz Eşya & Ev Aletleri > Küçük Mutfak Aletleri || Beyaz Eşya & Ev Aletleri > Su Isıtma & Sıcak Su Cihazları","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"firin-cihazi","Fırın","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Fırın","CANONICAL-000323","Beyaz Eşya & Ev Aletleri > Büyük Pişirme Cihazları > Fırınlar","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"ocak-cihazi","Ocak","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Ocak","CANONICAL-000324","Beyaz Eşya & Ev Aletleri > Büyük Pişirme Cihazları > Ocaklar","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","YES","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"davlumbaz-aspirator","Davlumbaz & Aspiratör","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Davlumbaz & Aspiratör","CANONICAL-000326","Beyaz Eşya & Ev Aletleri > Büyük Pişirme Cihazları > Davlumbaz & Aspiratörler","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Exact aggregate candidate successor."
"mikrodalga-firin","Mikrodalga Fırın","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Mikrodalga Fırın","CANONICAL-000325","Beyaz Eşya & Ev Aletleri > Büyük Pişirme Cihazları > Mikrodalga Fırınlar","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"cay-kahve-makinesi","Çay & Kahve Makinesi","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Çay & Kahve Makinesi","CANONICAL-000331","Beyaz Eşya & Ev Aletleri > Küçük Mutfak Aletleri > Çay & Kahve Hazırlama > Türk Kahvesi Makineleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"blender-mikser-dograyici","Blender, Mikser & Doğrayıcı","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Blender, Mikser & Doğrayıcı","CANONICAL-000335 || CANONICAL-000336","Beyaz Eşya & Ev Aletleri > Küçük Mutfak Aletleri > Blender, Mikser & Doğrayıcılar > Blenderlar || Beyaz Eşya & Ev Aletleri > Küçük Mutfak Aletleri > Blender, Mikser & Doğrayıcılar > Mikserler","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"tost-izgara-airfryer","Tost, Izgara & Airfryer","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Tost, Izgara & Airfryer","CANONICAL-000338","Beyaz Eşya & Ev Aletleri > Küçük Mutfak Aletleri > Tost & Izgara Makineleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=0,8600; target remains candidate, not owner-final."
"su-isitici-elektrikli-pisirici","Su Isıtıcı & Elektrikli Pişirici","Beyaz Eşya & Ev Aletleri > Pişirme & Mutfak Cihazları > Su Isıtıcı & Elektrikli Pişirici","CANONICAL-000341","Beyaz Eşya & Ev Aletleri > Küçük Mutfak Aletleri > Su Isıtıcılar","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=0,7267; target remains candidate, not owner-final."
"temizlik-iklimlendirme-kisisel-ev-aleti","Temizlik, İklimlendirme & Kişisel Ev Aleti","Beyaz Eşya & Ev Aletleri > Temizlik, İklimlendirme & Kişisel Ev Aleti","CANONICAL-000344 || CANONICAL-000354 || CANONICAL-000364 || CANONICAL-000370 || CANONICAL-000383","Beyaz Eşya & Ev Aletleri > Temizlik Cihazları || Beyaz Eşya & Ev Aletleri > İklimlendirme & Hava Kalitesi || Beyaz Eşya & Ev Aletleri > Ütü & Tekstil Bakım Cihazları || Beyaz Eşya & Ev Aletleri > Elektrikli Kişisel Bakım Cihazları || Beyaz Eşya & Ev Aletleri > Ev Aleti Aksesuar, Filtre & Sarf Malzemeleri","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"elektrikli-supurge","Elektrikli Süpürge","Beyaz Eşya & Ev Aletleri > Temizlik, İklimlendirme & Kişisel Ev Aleti > Elektrikli Süpürge","CANONICAL-000347","Beyaz Eşya & Ev Aletleri > Temizlik Cihazları > Elektrikli Süpürgeler > Dikey Süpürgeler","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"buharli-temizleyici","Buharlı Temizleyici","Beyaz Eşya & Ev Aletleri > Temizlik, İklimlendirme & Kişisel Ev Aleti > Buharlı Temizleyici","CANONICAL-000350","Beyaz Eşya & Ev Aletleri > Temizlik Cihazları > Buharlı Temizleyiciler","LEGACY_NAME_SLUG_PATH_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME_AND_MOVE","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"klima","Klima","Beyaz Eşya & Ev Aletleri > Temizlik, İklimlendirme & Kişisel Ev Aleti > Klima","CANONICAL-000355","Beyaz Eşya & Ev Aletleri > İklimlendirme & Hava Kalitesi > Klimalar","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"vantilator-hava-sogutucu","Vantilatör & Hava Soğutucu","Beyaz Eşya & Ev Aletleri > Temizlik, İklimlendirme & Kişisel Ev Aleti > Vantilatör & Hava Soğutucu","CANONICAL-000356","Beyaz Eşya & Ev Aletleri > İklimlendirme & Hava Kalitesi > Vantilatör & Hava Soğutucular","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"isitici-soba","Isıtıcı & Soba","Beyaz Eşya & Ev Aletleri > Temizlik, İklimlendirme & Kişisel Ev Aleti > Isıtıcı & Soba","CANONICAL-000357","Beyaz Eşya & Ev Aletleri > İklimlendirme & Hava Kalitesi > Elektrikli Isıtıcılar","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","YES","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"hava-temizleyici-nem-cihazi","Hava Temizleyici & Nem Cihazı","Beyaz Eşya & Ev Aletleri > Temizlik, İklimlendirme & Kişisel Ev Aleti > Hava Temizleyici & Nem Cihazı","CANONICAL-000358","Beyaz Eşya & Ev Aletleri > İklimlendirme & Hava Kalitesi > Hava Temizleyiciler","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","YES","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"ev-yasam","Ev & Yaşam","Ev & Yaşam","CANONICAL-000390","Ev & Yaşam","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP",""
"mobilya","Mobilya","Ev & Yaşam > Mobilya","CANONICAL-000391","Ev & Yaşam > Mobilya","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Previous provisional L2 bridge now resolves to the exact Wave 32 candidate L2; target is not owner-final."
"koltuk-kanepe","Koltuk & Kanepe","Ev & Yaşam > Mobilya > Koltuk & Kanepe","CANONICAL-000393","Ev & Yaşam > Mobilya > Oturma Mobilyaları > Koltuk & Kanepe","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"masa-sandalye","Masa & Sandalye","Ev & Yaşam > Mobilya > Masa & Sandalye","CANONICAL-000396 || CANONICAL-000400","Ev & Yaşam > Mobilya > Masa Mobilyaları > Yemek Masası || Ev & Yaşam > Mobilya > Oturma Birimleri > Sandalye","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"yatak-baza-baslik","Yatak, Baza & Başlık","Ev & Yaşam > Mobilya > Yatak, Baza & Başlık","CANONICAL-000410 || CANONICAL-000408","Ev & Yaşam > Yatak & Uyku Ürünleri > Yataklar || Ev & Yaşam > Mobilya > Yatak Mobilyaları > Baza & Başlık","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"dolap-sifonyer","Dolap & Şifonyer","Ev & Yaşam > Mobilya > Dolap & Şifonyer","CANONICAL-000403","Ev & Yaşam > Mobilya > Depolama Mobilyaları > Dolap & Şifonyer","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"raf-kitaplik-tv-unitesi","Raf, Kitaplık & TV Ünitesi","Ev & Yaşam > Mobilya > Raf, Kitaplık & TV Ünitesi","CANONICAL-000404 || CANONICAL-000405","Ev & Yaşam > Mobilya > Depolama Mobilyaları > Raf & Kitaplık || Ev & Yaşam > Mobilya > Depolama Mobilyaları > TV Ünitesi","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"calisma-mobilyasi","Çalışma Mobilyası","Ev & Yaşam > Mobilya > Çalışma Mobilyası","CANONICAL-000397","Ev & Yaşam > Mobilya > Masa Mobilyaları > Çalışma Masası","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"ev-tekstili","Ev Tekstili","Ev & Yaşam > Ev Tekstili","CANONICAL-000409 || CANONICAL-000414 || CANONICAL-000424 || CANONICAL-000429","Ev & Yaşam > Yatak & Uyku Ürünleri || Ev & Yaşam > Ev Tekstili || Ev & Yaşam > Perde & Pencere Tekstili || Ev & Yaşam > Halı, Kilim & Paspas","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"nevresim-yatak-ortusu","Nevresim & Yatak Örtüsü","Ev & Yaşam > Ev Tekstili > Nevresim & Yatak Örtüsü","CANONICAL-000416 || CANONICAL-000418","Ev & Yaşam > Ev Tekstili > Yatak Tekstili > Nevresim Takımı || Ev & Yaşam > Ev Tekstili > Yatak Tekstili > Yatak Örtüsü","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"yastik-yorgan","Yastık & Yorgan","Ev & Yaşam > Ev Tekstili > Yastık & Yorgan","CANONICAL-000411 || CANONICAL-000412","Ev & Yaşam > Yatak & Uyku Ürünleri > Yastıklar || Ev & Yaşam > Yatak & Uyku Ürünleri > Yorganlar","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"havlu-bornoz","Havlu & Bornoz","Ev & Yaşam > Ev Tekstili > Havlu & Bornoz","CANONICAL-000420 || CANONICAL-000421","Ev & Yaşam > Ev Tekstili > Banyo Tekstili > Havlu || Ev & Yaşam > Ev Tekstili > Banyo Tekstili > Bornoz","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"perde-stor","Perde & Stor","Ev & Yaşam > Ev Tekstili > Perde & Stor","CANONICAL-000425 || CANONICAL-000426 || CANONICAL-000427","Ev & Yaşam > Perde & Pencere Tekstili > Tül Perde || Ev & Yaşam > Perde & Pencere Tekstili > Fon Perde || Ev & Yaşam > Perde & Pencere Tekstili > Stor & Zebra Perde","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"hali-kilim","Halı & Kilim","Ev & Yaşam > Ev Tekstili > Halı & Kilim","CANONICAL-000430 || CANONICAL-000431 || CANONICAL-000432","Ev & Yaşam > Halı, Kilim & Paspas > Halı || Ev & Yaşam > Halı, Kilim & Paspas > Kilim || Ev & Yaşam > Halı, Kilim & Paspas > Yolluk","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"battaniye-ortu-kirlent","Battaniye, Örtü & Kırlent","Ev & Yaşam > Ev Tekstili > Battaniye, Örtü & Kırlent","CANONICAL-000423","Ev & Yaşam > Ev Tekstili > Kırlent","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"dekorasyon-aydinlatma","Dekorasyon & Aydınlatma","Ev & Yaşam > Dekorasyon & Aydınlatma","CANONICAL-000434 || CANONICAL-000444 || CANONICAL-000429","Ev & Yaşam > Dekorasyon & Duvar Aksesuarları || Ev & Yaşam > Aydınlatma || Ev & Yaşam > Halı, Kilim & Paspas","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"avize-tavan-aydinlatmasi","Avize & Tavan Aydınlatması","Ev & Yaşam > Dekorasyon & Aydınlatma > Avize & Tavan Aydınlatması","CANONICAL-000445","Ev & Yaşam > Aydınlatma > Tavan Aydınlatmaları","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=0,8600; target remains candidate, not owner-final."
"masa-lambader-gece-lambasi","Masa, Lambader & Gece Lambası","Ev & Yaşam > Dekorasyon & Aydınlatma > Masa, Lambader & Gece Lambası","CANONICAL-000448 || CANONICAL-000447","Ev & Yaşam > Aydınlatma > Gece Lambaları || Ev & Yaşam > Aydınlatma > Lambader","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
